,text,time,location,source,like_count,quote_count,reply_count,retweet_count,lang,split_text
1288,vsheard kkr forjohnnydepp everyon see follow follow httpstcokmjkg53jrx,2022-05-18,,Twitter for iPhone,0,0,0,1,en,"['vsheard', 'kkr', 'forjohnnydepp', 'everyon', 'see', 'follow', 'follow', 'httpstcokmjkg53jrx']"
1289,httpstcotxk1pgvqp2 pleas donat quot idrissa forjusticeelitebhel shah httpstcotiso1eq2do,2022-05-18,Egypt,Twitter for iPhone,0,0,0,1,en,"['httpstcotxk1pgvqp2', 'pleas', 'donat', 'quot', 'idrissa', 'forjusticeelitebhel', 'shah', 'httpstcotiso1eq2do']"
1290,forfolloback everyon see tweet follow follow app month,2022-05-18,,Twitter for iPhone,0,0,0,0,en,"['forfolloback', 'everyon', 'see', 'tweet', 'follow', 'follow', 'app', 'month']"
1291,rememb donkey teeth chase away led chase awa httpstcouvsdbyvmrx,2022-05-18,,Twitter for iPhone,1,0,0,1,en,"['rememb', 'donkey', 'teeth', 'chase', 'away', 'led', 'chase', 'awa', 'httpstcouvsdbyvmrx']"
1292,2000 mule must see 2020 elect fraud dsouza correct 1 hr 50 minut long 4 million httpstco5i1dzgqsfr,2022-05-18,,Twitter for iPhone,0,0,0,0,en,"['2000', 'mule', 'must', 'see', '2020', 'elect', 'fraud', 'dsouza', 'correct', '1', 'hr', '50', 'minut', 'long', '4', 'million', 'httpstco5i1dzgqsfr']"
1293,anoth attempt distract purchas debacl httpstcoe6vi8ish5a,2022-05-18,"Miami, FL",Twitter for iPhone,1,0,1,0,en,"['anoth', 'attempt', 'distract', 'purchas', 'debacl', 'httpstcoe6vi8ish5a']"
1294,hey bird im drop 2 song end month lifestyl tomorrow may 19th httpstcox1mu1xctik,2022-05-18,"Enugu, Nigeria",Twitter for Android,0,0,0,0,en,"['hey', 'bird', 'im', 'drop', '2', 'song', 'end', 'month', 'lifestyl', 'tomorrow', 'may', '19th', 'httpstcox1mu1xctik']"
1295,said event featur mani cool updat includ preview tesla upcom robot tesla bot httpstcoibkhwfwehi,2022-05-18,"California, USA",Twitter for iPhone,0,0,0,0,en,"['said', 'event', 'featur', 'mani', 'cool', 'updat', 'includ', 'preview', 'tesla', 'upcom', 'robot', 'tesla', 'bot', 'httpstcoibkhwfwehi']"
1296,not get deal easi,2022-05-18,"mic, aka, nyc",Twitter for iPhone,0,0,0,0,en,"['not', 'get', 'deal', 'easi']"
1297,not ban twitter speech verita social httpstco1ricmwhpkn,2022-05-18,,Twitter for iPhone,0,0,0,0,en,"['not', 'ban', 'twitter', 'speech', 'verita', 'social', 'httpstco1ricmwhpkn']"
1298,zero prob less zero interest either way decid spend money n httpstco16bxcsc26q,2022-05-18,"Detroit, MI",TweetDeck,0,0,0,0,en,"['zero', 'prob', 'less', 'zero', 'interest', 'either', 'way', 'decid', 'spend', 'money', 'n', 'httpstco16bxcsc26q']"
1299,amazon new fire 7 tablet kid usbc port 9 kid marketcrash iphon httpstco4ltjmvfufg,2022-05-18,"California, USA",Twitter for iPhone,0,0,0,0,en,"['amazon', 'new', 'fire', '7', 'tablet', 'kid', 'usbc', 'port', '9', 'kid', 'marketcrash', 'iphon', 'httpstco4ltjmvfufg']"
1300,back celebr frankfurt goal borr man peopl httpstco5h2acri2h8,2022-05-18,,Twitter for iPhone,0,0,0,0,en,"['back', 'celebr', 'frankfurt', 'goal', 'borr', 'man', 'peopl', 'httpstco5h2acri2h8']"
1301,lorilightfoot httpstcohs45dvrje1,2022-05-18,Behind you,Twitter for iPhone,0,0,0,0,en,"['lorilightfoot', 'httpstcohs45dvrje1']"
1302,lorilightfoot httpstcocsvphcwx6g,2022-05-18,Behind you,Twitter for iPhone,0,0,0,0,en,"['lorilightfoot', 'httpstcocsvphcwx6g']"
1303,lorilightfoot httpstcoxh2e2rjajn,2022-05-18,Behind you,Twitter for iPhone,0,0,0,0,en,"['lorilightfoot', 'httpstcoxh2e2rjajn']"
1305,bizarr blame tsla stock slide deal everi tech stock hammer,2022-05-18,,Twitter Web App,1,0,0,0,en,"['bizarr', 'blame', 'tsla', 'stock', 'slide', 'deal', 'everi', 'tech', 'stock', 'hammer']"
1306,risk worth take worth 44b stock increas purchas lose faith httpstcocqsy1l40fa,2022-05-18,"Idaho, USA",Twitter for Android,1,0,1,0,en,"['risk', 'worth', 'take', 'worth', '44b', 'stock', 'increas', 'purchas', 'lose', 'faith', 'httpstcocqsy1l40fa']"
1307,mani trend creat organ httpstcocatki8dkpc,2022-05-18,"Indiana, USA",Twitter for iPhone,0,0,0,0,en,"['mani', 'trend', 'creat', 'organ', 'httpstcocatki8dkpc']"
1308,not surpris ever sinc announc buyout constantli attack left liber,2022-05-18,"Cansanção, Brasil",Twitter for Android,0,0,0,0,en,"['not', 'surpris', 'ever', 'sinc', 'announc', 'buyout', 'constantli', 'attack', 'left', 'liber']"
1309,long chart httpstcowz5zedkx49,2022-05-18,,TradingView,0,0,0,0,en,"['long', 'chart', 'httpstcowz5zedkx49']"
1310,not surpris ever sinc announc buyout constantli attack left liber httpstcorg5sjbudsi,2022-05-18,"San Francisco, CA",Twitter for iPhone,2,0,2,1,en,"['not', 'surpris', 'ever', 'sinc', 'announc', 'buyout', 'constantli', 'attack', 'left', 'liber', 'httpstcorg5sjbudsi']"
1311,april 25 2022 date announc intent purchas 54 share graph httpstcodl57y4zvib,2022-05-18, 🏔️High Sierra 🌲Snow Country,Twitter Web App,0,0,0,0,en,"['april', '25', '2022', 'date', 'announc', 'intent', 'purchas', '54', 'share', 'graph', 'httpstcodl57y4zvib']"
1315,deserv ts pt 2 fight fight hoodfight hoodbrawl hoodlyfight ghettofight ghettofight fightpag httpstcorjtr2n6wzb,2022-05-18,,Twitter for iPhone,98,1,1,5,en,"['deserv', 'ts', 'pt', '2', 'fight', 'fight', 'hoodfight', 'hoodbrawl', 'hoodlyfight', 'ghettofight', 'ghettofight', 'fightpag', 'httpstcorjtr2n6wzb']"
1316,still buy obvious get lower price good still best pl httpstcoodzlisf6aw,2022-05-18,United States,Twitter Web App,0,0,0,0,en,"['still', 'buy', 'obvious', 'get', 'lower', 'price', 'good', 'still', 'best', 'pl', 'httpstcoodzlisf6aw']"
1318,work way top 20 mention wallstreetbet last 24 hour via httpstcokn0pjr9gnp,2022-05-18,,topstonks,0,0,0,0,en,"['work', 'way', 'top', '20', 'mention', 'wallstreetbet', 'last', '24', 'hour', 'via', 'httpstcokn0pjr9gnp']"
1319,democrat sell share without guilti conscienc httpstcopcvm3w6ntf,2022-05-18,ТЭСЛА  Москва ,Twitter Web App,0,0,0,0,en,"['democrat', 'sell', 'share', 'without', 'guilti', 'conscienc', 'httpstcopcvm3w6ntf']"
1320,never seriou takeov nonetheless bluff first call httpstcoe9zpopddwi,2022-05-18,"Miami, FL, USA",Twitter Web App,0,0,0,0,en,"['never', 'seriou', 'takeov', 'nonetheless', 'bluff', 'first', 'call', 'httpstcoe9zpopddwi']"
1321,clip qt origin post via news social network studi httpstcozdagmacwn,2022-05-18,DeCenterized Tokyo🗼⇄NY🗽,Twitter for iPhone,0,0,1,0,en,"['clip', 'qt', 'origin', 'post', 'via', 'news', 'social', 'network', 'studi', 'httpstcozdagmacwn']"
1322,social50 biden follow like voter fake rest democrat oper httpstcoygdcigpehi,2022-05-18,,Twitter Web App,0,0,0,0,en,"['social50', 'biden', 'follow', 'like', 'voter', 'fake', 'rest', 'democrat', 'oper', 'httpstcoygdcigpehi']"
1323,social50 biden follow like voter fake rest democrat oper dead httpstcofmzo3w8dsa,2022-05-18,,Twitter Web App,1,0,1,0,en,"['social50', 'biden', 'follow', 'like', 'voter', 'fake', 'rest', 'democrat', 'oper', 'dead', 'httpstcofmzo3w8dsa']"
1325,still stakehold also board member believ httpstcore6kypofei,2022-05-18,Aukat,Twitter for iPhone,1,0,0,0,en,"['still', 'stakehold', 'also', 'board', 'member', 'believ', 'httpstcore6kypofei']"
1326,not intend buy pump dump scheme use four time httpstcondsqd3bvlh,2022-05-18,,Twitter Web App,0,0,1,0,en,"['not', 'intend', 'buy', 'pump', 'dump', 'scheme', 'use', 'four', 'time', 'httpstcondsqd3bvlh']"
1327,done freefal doubt would care remov fake account anytim soon,2022-05-18,"Miami, FL, USA",Twitter Web App,0,0,0,0,en,"['done', 'freefal', 'doubt', 'would', 'care', 'remov', 'fake', 'account', 'anytim', 'soon']"
1328,still edit button invest,2022-05-18,upstate NY,Twitter for iPhone,0,0,0,0,en,"['still', 'edit', 'button', 'invest']"
1329,stop play game pay attent interest sharehold tesla errat httpstcokkscz09u5h,2022-05-18,,Twitter Web App,1,0,3,0,en,"['stop', 'play', 'game', 'pay', 'attent', 'interest', 'sharehold', 'tesla', 'errat', 'httpstcokkscz09u5h']"
1330,ye pleas drop near 050 httpstco8zrnjybey0,2022-05-18,"Hancock, MI",Twitter for iPhone,0,0,0,0,en,"['ye', 'pleas', 'drop', 'near', '050', 'httpstco8zrnjybey0']"
1333,space everi wednesday 1700 utc best trader insight tip fun httpstcod,2022-05-18,USA,Twitter Web App,0,0,0,0,en,"['space', 'everi', 'wednesday', '1700', 'utc', 'best', 'trader', 'insight', 'tip', 'fun', 'httpstcod']"
1335,boost republican follow way swing next presidenti elect way go httpstcorkoesvfxtf,2022-05-18,,Twitter for iPhone,0,0,0,0,en,"['boost', 'republican', 'follow', 'way', 'swing', 'next', 'presidenti', 'elect', 'way', 'go', 'httpstcorkoesvfxtf']"
1336,rocket man need better reason better futur human forget polit httpstcoxrnz2fg6dh,2022-05-18,Omni,Twitter for Android,0,0,0,0,en,"['rocket', 'man', 'need', 'better', 'reason', 'better', 'futur', 'human', 'forget', 'polit', 'httpstcoxrnz2fg6dh']"
1337,need follow not realli sure help amc pant bore,2022-05-18,,Twitter for iPhone,0,0,0,0,en,"['need', 'follow', 'not', 'realli', 'sure', 'help', 'amc', 'pant', 'bore']"
1338,one problem believ much better everyon rule,2022-05-18,,Twitter for Android,0,0,0,0,en,"['one', 'problem', 'believ', 'much', 'better', 'everyon', 'rule']"
1339,alreadi know amount bot fals account much httpstcoxf0fzli6xp,2022-05-18,,Twitter Web App,0,0,0,0,en,"['alreadi', 'know', 'amount', 'bot', 'fals', 'account', 'much', 'httpstcoxf0fzli6xp']"
1340,follow identifi clickbait fraud sell advertis th httpstcosatapahtkn,2022-05-18,,Twitter Web App,0,0,0,0,en,"['follow', 'identifi', 'clickbait', 'fraud', 'sell', 'advertis', 'th', 'httpstcosatapahtkn']"
1341,hot take save find right option strat 90 win prob make fix 15 27 httpstcouikx7h6wxu,2022-05-18,"New York, NY",Twitter Web App,0,0,0,0,en,"['hot', 'take', 'save', 'find', 'right', 'option', 'strat', '90', 'win', 'prob', 'make', 'fix', '15', '27', 'httpstcouikx7h6wxu']"
